GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coverage Aggregator/unittesting,io,FileIO,3,60,0,6,2,14,0,6,0,3
Coverage Aggregator/unittesting,math,ArithmeticOperations,0,41,0,10,0,8,0,8,0,3
Coverage Aggregator/unittesting,math,MyMath,0,71,0,20,0,16,0,13,0,3
Coverage Aggregator/unittesting,math,ArrayOperations,0,47,0,4,0,9,0,5,0,3
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.metric,LOC,0,69,1,11,0,15,1,9,0,4
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.metric,NOC,0,43,1,5,0,9,1,6,0,4
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.metric,NOM,0,67,3,15,0,13,3,10,0,4
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.metric,Metric,0,51,0,6,0,18,0,7,0,4
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.calculator,Calculator,0,10,0,0,0,4,0,2,0,2
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.calculator,StringComparisonCalculator,0,9,0,0,0,3,0,2,0,2
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.calculator,RegexCalculator,0,9,0,0,0,3,0,2,0,2
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.reader,SourceFileLocation.new SourceFileLocation() {...},0,10,0,0,0,2,0,2,0,2
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.reader,LocalSourceFileReader,0,27,0,0,0,5,0,3,0,3
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.reader,SourceFileLocation.new SourceFileLocation() {...},0,10,0,0,0,2,0,2,0,2
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.reader,SourceFileLocation,0,24,0,0,0,3,0,1,0,1
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.reader,WebSourceFileReader,0,29,0,0,0,5,0,3,0,3
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.reader,SourceFileReaderFactory,0,6,0,0,0,2,0,2,0,2
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.reader,SourceFileReader,0,57,0,4,0,13,0,5,0,3
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.analyzer,AnalyzingMethod.new AnalyzingMethod() {...},0,43,0,0,0,6,0,2,0,2
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.analyzer,AnalyzingMethod.new AnalyzingMethod() {...},0,43,0,0,0,6,0,2,0,2
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.analyzer,SourceCodeAnalyzer,0,48,0,2,0,13,0,5,0,4
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.analyzer,AnalyzingMethod,0,24,0,0,0,3,0,1,0,1
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.analyzer,SourceCodeAnalyzerFactory,0,8,0,0,0,2,0,2,0,2
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.exporter,FileType,0,24,0,0,0,3,0,1,0,1
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.exporter,CSVMetricsExporter,0,94,0,2,0,13,0,3,0,2
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.exporter,FileType.new FileType() {...},0,10,0,0,0,2,0,2,0,2
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.exporter,FileType.new FileType() {...},0,13,0,0,0,2,0,2,0,2
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.exporter,MetricsExporterFactory,0,6,0,0,0,2,0,2,0,2
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer.exporter,JSONMetricsExporter,0,37,0,0,0,8,0,2,0,2
Coverage Aggregator/SourceCodeAnalyzer,demo,DemoClient,58,0,4,0,18,0,4,0,2,0
Coverage Aggregator/SourceCodeAnalyzer,codeanalyzer,Facade,0,43,0,0,0,13,0,2,0,2
